ETF名称,ETF代码,当前最新价格(HKD),当前最新价格对应时间戳,数据来源
盈富基金,02800.HK,26.08,2026-04-29 16:09:00 (北京时间),https://202.62.215.18/www/sc/stocks/realtime/quote_dividend.php?code=02800
南方恒生科技,03033.HK,4.786,2026-04-29 16:09:00 (北京时间),https://meyka.com/blog/3033hk-stock-closes-down-091-on-hkse-csop-hang-seng-tech-etf-2904/
恒生中国企业,02828.HK,90.14,2026-04-29 16:09:00 (北京时间),http://quotes.aastocks.com/sc/stocks/market/top-rank/stock
纳斯达克100指数ETF,QQQ,657.55,2026-04-28 16:00:00 (美东时间),https://gu.sina.cn/quotes/us/QQQ
标普500指数ETF,SPY,711.69,2026-04-28 16:00:00 (美东时间),https://cn.investing.com/etfs/spdr-s-p-500-technical
道琼斯工业指数ETF,DIA,491.94,2026-04-28 16:00:00 (美东时间),https://www.eddidyzt.com/meigu/
